artistId,artistName,location,country,Code,Alias
194,Various,n/a,n/a,,
417,Photek,St Albans,United Kingdom,,
776,DJ Cam,,France,,
968,The Herbaliser,London,United Kingdom,,
997,Roey Marquis II,,Germany,,
1289,Daft Punk,,France,,
1396,The Brand New Heavies,,United Kingdom,,
1444,DJ Vadim,Sankt-Peterburg,London,,
1445,The Prunes,,Denmark,,
1458,World Class Wreckin' Cru,,United States,US,
1716,Aquasky,Bournemouth,United Kingdom,,
1781,Jungle Brothers,,United States,US,
1905,DJ Spinna,,United States,US,
2194,Roots Manuva,,United Kingdom,,
2195,East Flatbush Project,,United States,US,
2202,El-P,,United States,US,
2265,Roy Ayers,Los Angeles,United States,US,
2266,George Benson,,United States,US,
2525,Slip,,United States,US,
2545,DJ Magic Mike,,United States,US,
2589,Dynamic Duo (2),New York,United States,US,
2604,Stetsasonic,,United States,US,
3079,YZ,New Jersey,United States,US,
3081,Jeru The Damaja,,United States,US,
3082,Rae & Christian,,United Kingdom,,
3155,Dejja,,Japan,,
3165,Mantronix,,United States,US,
3214,DJ Spooky,"Washington, DC",United States,US,
3263,Saukrates,,Canada,,
3267,D.I.T.C.,,United States,US,
3268,A Tribe Called Quest,,United States,US,
3272,Aim,Barrow-in-Furness,United Kingdom,,
3273,Deckwrecka,,London,,
3300,Smith & Mighty,Bristol,United Kingdom,,
3302,DJ Lynx,,United Kingdom,,
3472,Tanya Winley,New York,United States,US,
3541,DJ Mink,,United Kingdom,,
3722,Prefuse 73,Miami,United States,US,
3763,Bad Meets Evil,,United States,US,
3840,Radiohead,,United Kingdom,,
3862,Guru,,United States,US,
3867,Newcleus,Brooklyn,United States,US,
3922,Hooverphonic,,Belgium,,
3924,Black Uhuru,,Jamaica,,
3990,Terry Hall,,United Kingdom,,
4000,Tony D,New Jersey,United States,US,
4030,Crooklyn Clan,,United States,US,
4091,De La Soul,New York,United States,US,
4093,UTFO,,United States,US,
4096,Roxanne Shanté,,United States,US,
4097,Whodini,Brooklyn,United States,US,
4478,DJ Shadow,San Jose,United States,US,
4617,Noreaga,New York,United States,US,
4618,Fonky Family,,France,,
4653,Richie Rich,,United Kingdom,,
4654,Kraftwerk,Dusseldorf,Germany,,
4778,Mary J. Blige,,United States,US,
4779,Jodeci,,United States,US,
4813,T.C. Izlam,New York,United States,US,
4818,The Creators,,United Kingdom,,
4834,Stereo MC's,,United Kingdom,,
4839,Spoonie Gee,,United States,US,
4848,Kool G Rap,,United States,US,
4970,Soul II Soul,,United Kingdom,,
5004,Mark B,,United Kingdom,,
5076,Static,,Australia,,
5090,Dynamic Syncopation,,United Kingdom,,
5416,IG Culture,,United Kingdom,,
5455,Cut Chemist,New York,United States,US,
5491,People Under The Stairs,,United States,US,
5635,Karl The Voice,,France,,
5648,Mos Def,,United States,US,
5649,L-Fudge,,United States,US,
5682,Masta Ace,Brownsville,United States,US,
5793,Lewis Parker,,United Kingdom,,
5953,J-Live,,United States,US,
6136,Latyrx,,United States,US,
6157,Aphrodelics,,Austria,,
6378,Gorillaz,,United Kingdom,,
6952,Tom Morello,,United States,US,
6953,MC D-Stroy,,United States,US,
7253,Tony Scott,,Netherlands,,
7449,Ronny Jordan,,United Kingdom,,
7686,Naughty By Nature,,United States,US,
7699,SWV,,United States,US,
7708,Shaggy,Kingston,Jamaica,,
8024,Janet Jackson,Gary,United States,US,
8186,DJ Smash,California,United States,US,
8279,Jill Scott,,United States,US,
8285,Kelis,,United States,US,
8456,Phoebe One,,United Kingdom,,
8459,Skibadee,Lambeth,United Kingdom,,
8585,Divine Styler,,United States,US,
8729,Laid Back,Copenhagen,Denmark,,
8993,Double Dee & Steinski,,United States,US,
8994,Steinski & Mass Media,,United States,US,
9074,Simon Harris,Chigwell,United Kingdom,,
9373,Beenie Man,,Jamaica,,
9384,Lucy Pearl,,United States,US,
9557,Dwele,Detroit,United States,US,
9638,DJ Rip,Chicago,United States,US,
9707,War,,United States,US,
9741,Slick Rick,The Bronx,United States,US,
9807,Enya,,Ireland,,
9838,Mix Master Mike,,United States,US,
9839,The X-Ecutioners,,United States,US,
9965,Muro,Madrid,Japan,,
9966,DJ Format,,United Kingdom,,
10090,Mass Influence,,United States,US,
10147,Mr. X,,United States,US,
10181,DJ LBR,,France,,
10268,Kid Sublime,,Amsterdam,,
10578,The Pharcyde,Los Angeles,United States,US,
10586,Slum Village,Detroit,United States,US,
10783,Beastie Boys,New York,United States,US,
10818,Hiroshi Fujiwara,,Japan,,
10990,Blackstreet,,United States,US,
10991,Coolio,,United States,US,
10995,Erykah Badu,,United States,US,
11012,Rod Stewart,,United Kingdom,,
11152,DJ Revolution,Long Island City,United States,US,
11213,Wu-Tang Clan,,United States,US,
11414,DLT,,New Zealand,,
11737,Shannon,,United States,US,
11784,Task Force (2),,United Kingdom,,
11864,Kelz,,United Kingdom,,
11910,Milo Johnson,,United Kingdom,,
12137,Heavy D. & The Boyz,,United States,US,
12287,Another Level,,United Kingdom,,
12330,Yella,,United States,US,
12466,Black Thought,Philadelphia,United States,US,
12469,PhonosycographDISK,,United States,US,
12470,Company Flow,,United States,US,
12474,Kukoo Da Baga Bonez,,n/a,,
12596,James Brown,Barnwell,United States,US,
12626,Craig David,,United Kingdom,,
12627,Soulive,,United States,US,
13247,Prince Paul,New York,United States,US,
13333,Imhotep,,France,,
13705,MC Det,,United Kingdom,,
13726,N.W.A.,,United States,US,
13727,Luniz,,United States,US,
13732,Ice Cube,,United States,US,
13733,Aaliyah,,United States,US,
13869,"Chris ""The Glove"" Taylor",,United States,US,
13873,Marley Marl,New York,United States,US,
13876,Doug E. Fresh And The Get Fresh Crew,New York,United States,US,
13878,D.St.,New York,United States,US,
13879,Kid Frost,Los Angeles,United States,US,
13888,Awesome Foursome,,United States,US,
13936,Toni Braxton,,United States,US,
13961,Sting,Wallsend,England,,
13981,DJ Chestnut,,Germany,,
14014,Common,,United States,US,
14017,Jigmastas,,United States,US,
14081,EJM,,France,,
14145,M.S.I.,,United Kingdom,,
14295,Pete Rock,,United States,US,
14313,Deshay,,n/a,,
14480,Chubb Rock,New York,United States,US,
14481,Sweet Tee,,United States,US,
14484,Howie Tee,New York,United States,US,
14485,Power Jam,,Germany,,
14488,Queen Latifah,Newark,United States,US,
14491,Chill Rob G,,United States,US,
14560,DJ Kool,,United States,US,
14646,R. Kelly,,United States,US,
14648,DJ Jazzy Jeff & The Fresh Prince,,United States,US,
14696,Extince,,Netherlands,,
14725,Funky Fresh Few,,United Kingdom,,
14742,EPMD,,United States,US,
14743,Redman,,United States,US,
14745,Breez Evahflowin',,United States,US,
14747,Sunz Of Man,,United States,US,
14752,The Wascals,,United States,US,
14753,Xzibit,,United States,US,
14757,Black Moon,New York,United States,US,
14954,Rodney P,,United Kingdom,,
14956,Rasco,San Francisco,United States,US,
15585,Dee Nasty,Paris,France,,
15588,Gonzales,,Germany,,
15787,Timbuktu,,Sweden,,
16048,Kilo,Atlanta,United States,US,
16171,Jason Downs,,United States,US,
16360,Mario,,United States,US,
16409,Omar,Balham,United Kingdom,,
16412,MC Solaar,Dakar,France,,
16508,Madlib,,United States,US,
16575,KUDO,,Japan,,
16627,DJ Skribble,,n/a,,
16655,Blondie,New York,United States,US,
