,id,name,aliases
0,417,Photek,"[{'@id': '2015', '#text': 'Aquarius'}, {'@id': '9815', '#text': 'Code Of Practice'}, {'@id': '2681719', '#text': 'Parxe'}, {'@id': '16036', '#text': 'Phaze 1'}, {'@id': '243991', '#text': 'Rupert Parkes'}, {'@id': '652', '#text': 'Special Forces'}, {'@id': '16982', '#text': 'Studio Pressure'}, {'@id': '32470', '#text': 'Synthetics'}, {'@id': '12174', '#text': 'System X'}, {'@id': '47561', '#text': 'The Sentinel'}, {'@id': '37745', '#text': 'The Truper'}]"
1,776,DJ Cam,"[{'@id': '1103667', '#text': 'Bouncer Crew'}, {'@id': '670401', '#text': 'Laurent Daumail'}]"
2,968,The Herbaliser,none available
3,997,Roey Marquis II,"[{'@id': '3277539', '#text': 'Calogero Randazzo'}, {'@id': '4811724', '#text': 'Ming (15)'}]"
4,1095,Andrés,"[{'@id': '2517289', '#text': 'A Drummer From Detroit'}, {'@id': '53965', '#text': 'DJ Dez'}, {'@id': '910525', '#text': 'Humberto Hernandez'}]"
5,1289,Daft Punk,none available
6,1396,The Brand New Heavies,none available
7,1444,DJ Vadim,"[{'@id': '5003', '#text': 'Andre Gurov'}, {'@id': '348923', '#text': 'Junior Rankin'}, {'@id': '470764', '#text': 'Vadim Peare'}]"
8,1445,The Prunes,none available
9,1458,World Class Wreckin' Cru,none available
10,1716,Aquasky,"[{'@id': '29903', '#text': 'Aquasky vs. Masterblaster'}, {'@id': '1522383', '#text': 'Black Noise (6)'}, {'@id': '9801', '#text': 'Electron'}, {'@id': '157348', '#text': 'Strategy (5)'}, {'@id': '15843', '#text': 'Tenth & Parker'}]"
11,1781,Jungle Brothers,"{'@id': '129667', '#text': 'Crazy Wisdom Masters'}"
12,1905,DJ Spinna,"[{'@id': '469454', '#text': 'Chopp Master Flopp'}, {'@id': '362234', '#text': 'Vince Williams'}]"
13,2194,Roots Manuva,"[{'@id': '3273207', '#text': 'Baron Smith'}, {'@id': '333725', '#text': 'Brigadier Smythe'}, {'@id': '45790', '#text': 'Cecil P.Y.L.M. Pim Pimpernel'}, {'@id': '1117853', '#text': 'Hylton Smive'}, {'@id': '229646', '#text': 'Hylton Smythe'}, {'@id': '138487', '#text': 'Lord Gosh'}, {'@id': '76655', '#text': 'Rodney Smith'}]"
14,2195,East Flatbush Project,none available
15,2202,EL-P,"[{'@id': '6249364', '#text': 'El Farolito'}, {'@id': '783191', '#text': 'Jaime Meline'}, {'@id': '345081', '#text': 'Jimmies'}, {'@id': '5204610', '#text': 'Producto Mart'}, {'@id': '6248603', '#text': 'The Lyrical Punisher'}]"
16,2265,Roy Ayers,none available
17,2266,George Benson,"{'@id': '504433', '#text': 'Compliments Of A Friend'}"
18,2525,Slip,"{'@id': '18936', '#text': 'Xerox'}"
19,2545,DJ Magic Mike,"[{'@id': '4361870', '#text': 'Mic Mike'}, {'@id': '286405', '#text': 'Mike Hampton'}]"
20,2589,Dynamic Duo (2),none available
21,2604,Stetsasonic,none available
22,3079,YZ,"{'@id': '201834', '#text': 'Anthony Hill'}"
23,3081,Jeru The Damaja,"[{'@id': '685416', '#text': 'Dirty Rotten Scoundrels (3)'}, {'@id': '200480', '#text': 'Kendrick Jeru Davis'}]"
24,3082,Rae & Christian,"[{'@id': '17727', '#text': 'Fat City F.C.'}, {'@id': '47355', '#text': 'First Priority'}]"
25,3155,Dejja,none available
26,3165,Mantronix,"[{'@id': '76714', '#text': 'Chamonix'}, {'@id': '57733', '#text': 'Electric Circus'}, {'@id': '51905', '#text': ""Harry's Afro Hut""}, {'@id': '1003895', '#text': 'Kirk Khaleel'}, {'@id': '1046191', '#text': 'Kurtis Khaleel'}, {'@id': '4018', '#text': 'Kurtis Mantronik'}, {'@id': '40964', '#text': 'M?'}, {'@id': '30884', '#text': 'Sound Factory'}, {'@id': '110649', '#text': 'Wonderland (3)'}]"
27,3214,DJ Spooky,"[{'@id': '15495', '#text': 'Paul D. Miller'}, {'@id': '5997086', '#text': 'That Subliminal Kid'}, {'@id': '2262434', '#text': 'The Alchemist (12)'}]"
28,3263,Saukrates,"[{'@id': '214476', '#text': 'Big Sox'}, {'@id': '1378762', '#text': 'Karl Amani Wailoo'}]"
29,3267,D.I.T.C.,none available
30,3268,A Tribe Called Quest,none available
31,3272,Aim,"{'@id': '491687', '#text': 'Andy Turner (2)'}"
32,3273,Deckwrecka,"[{'@id': '213911', '#text': 'Agzilla'}, {'@id': '1268229', '#text': 'Alan Gold'}, {'@id': '654471', '#text': 'DJ Agzi'}]"
33,3300,Smith & Mighty,none available
34,3302,DJ Lynx,none available
35,3472,Tanya Winley,none available
36,3541,DJ Mink,none available
37,3695,Points Proven,"[{'@id': '34457', '#text': 'PD 3'}, {'@id': '2663161', '#text': 'Syncopated Productions'}]"
38,3722,Prefuse 73,"[{'@id': '104331', '#text': 'Ahmad Szabo'}, {'@id': '1918', '#text': 'Delarosa & Asora'}, {'@id': '227795', '#text': 'Piano Overlord'}, {'@id': '229415', '#text': 'Scott Herren'}, {'@id': '1580833', '#text': 'The Predicate Production Guild'}]"
39,3763,Bad Meets Evil,none available
40,3840,Radiohead,"[{'@id': '840842', '#text': 'On A Friday'}, {'@id': '1506477', '#text': 'Shindig (2)'}]"
41,3862,Guru,"[{'@id': '78711', '#text': 'Bald Head Slick'}, {'@id': '247289', '#text': 'Baldhead Slick & Da Click'}, {'@id': '1710045', '#text': 'Jazzmatazz'}, {'@id': '294477', '#text': 'Keith Elam'}, {'@id': '797215', '#text': 'Keithy E.M.C.'}]"
42,3867,Newcleus,"{'@id': '394621', '#text': 'The Move (2)'}"
43,3922,Hooverphonic,"[{'@id': '4447555', '#text': 'Discophonic'}, {'@id': '46981', '#text': 'Hoover'}, {'@id': '410070', '#text': 'Milk Fisk'}]"
44,3924,Black Uhuru,"{'@id': '3020301', '#text': 'Black Sounds Of Ultro'}"
45,3990,Terry Hall,none available
46,4000,Tony D,"[{'@id': '4629837', '#text': 'Don Sluggo'}, {'@id': '5334341', '#text': 'Harvee Wallbangar'}, {'@id': '196388', '#text': 'Tony Depula'}]"
47,4030,Crooklyn Clan,"{'@id': '1060125', '#text': 'The Rite Bros.'}"
48,4091,De La Soul,none available
49,4093,UTFO,none available
50,4096,Roxanne Shanté,"{'@id': '664984', '#text': 'Lolita Shante Gooden'}"
51,4097,Whodini,none available
52,4478,DJ Shadow,"[{'@id': '1891384', '#text': 'DJ Shadow And The Groove Robbers'}, {'@id': '219560', '#text': 'Josh Davis'}, {'@id': '1762007', '#text': 'Motorcycle John'}, {'@id': '6217177', '#text': 'Shimovis'}]"
53,4617,Noreaga,"[{'@id': '126073', '#text': 'N.O.R.E.'}, {'@id': '3280719', '#text': 'P.A.P.I.'}, {'@id': '640065', '#text': 'Victor Santiago (2)'}]"
54,4618,Fonky Family,none available
55,4653,Richie Rich,"[{'@id': '5983326', '#text': 'Richard Morgan (10)'}, {'@id': '213328', '#text': 'The Scam'}]"
56,4654,Kraftwerk,none available
57,4778,Mary J. Blige,"{'@id': '5082', '#text': 'Brook'}"
58,4779,Jodeci,none available
59,4813,T.C. Izlam,"[{'@id': '3269336', '#text': 'Anthony Bell (3)'}, {'@id': '1936540', '#text': 'Johnny Rocket (2)'}]"
60,4818,The Creators,none available
61,4834,Stereo MC's,"{'@id': '25815', '#text': 'Ultimatum'}"
62,4839,Spoonie Gee,"{'@id': '712898', '#text': 'Gabriel Jackson'}"
63,4848,Kool G Rap,"{'@id': '596793', '#text': 'Nathaniel Wilson'}"
64,4970,Soul II Soul,none available
65,5004,Mark B,none available
66,5076,Static,"[{'@id': '3068070', '#text': 'Aaron Danks'}, {'@id': '1522436', '#text': 'Aaron Static'}]"
67,5090,Dynamic Syncopation,none available
68,5416,IG Culture,"[{'@id': '1047881', '#text': 'Ian Grant (5)'}, {'@id': '421935', '#text': 'Instant Graffix'}, {'@id': '162143', '#text': 'Likwid Continual Space Motion Oper-Ra'}, {'@id': '152752', '#text': 'Ma Futura'}, {'@id': '2082', '#text': 'Quango'}, {'@id': '18114', '#text': 'Smoke No Bones'}, {'@id': '3520', '#text': 'Son Of Scientist'}, {'@id': '479682', '#text': 'Tito Sensai'}]"
69,5455,Cut Chemist,"[{'@id': '4042249', '#text': 'Jimmy Jim (3)'}, {'@id': '818853', '#text': 'Lucas Macfadden'}]"
70,5491,People Under The Stairs,none available
71,5635,Karl The Voice,"[{'@id': '786462', '#text': 'Karl Leury'}, {'@id': '1761839', '#text': 'Karlito (5)'}, {'@id': '432677', '#text': 'Kay Cee (2)'}]"
72,5648,Mos Def,"[{'@id': '693173', '#text': 'Dante Smith'}, {'@id': '3955540', '#text': 'EL-Bey The Moor'}, {'@id': '2538994', '#text': 'Yasiin Bey'}]"
73,5649,L-Fudge,"{'@id': '2032077', '#text': 'Elvin Rosario'}"
74,5682,Masta Ace,"[{'@id': '173567', '#text': 'Ase One'}, {'@id': '674374', '#text': 'Duval Clear'}]"
75,5793,Lewis Parker,none available
76,5953,J-Live,"[{'@id': '949408', '#text': 'Jean-Jacques Cadet'}, {'@id': '949420', '#text': 'Justice Allah Cadet'}]"
77,6136,Latyrx,none available
78,6157,Aphrodelics,none available
79,6378,Gorillaz,none available
80,6952,Tom Morello,"{'@id': '807852', '#text': 'The Nightwatchman'}"
81,6953,MC D-Stroy,"{'@id': '681582', '#text': 'David Melendez'}"
82,7253,Tony Scott,"{'@id': '797152', '#text': 'Peter van der Bosch'}"
83,7449,Ronny Jordan,none available
84,7686,Naughty By Nature,"[{'@id': '224348', '#text': '118th Street Productions'}, {'@id': '180397', '#text': 'Naughty Boys (3)'}, {'@id': '223309', '#text': 'The New Style'}]"
85,7699,SWV,none available
86,7708,Shaggy,"{'@id': '386759', '#text': 'Orville Richard Burrell'}"
87,8024,Janet Jackson,none available
88,8186,DJ Smash,"[{'@id': '90834', '#text': 'Cubian'}, {'@id': '47012', '#text': 'D-Connection'}, {'@id': '37150', '#text': 'Glamco Productions'}, {'@id': '21270', '#text': 'Jazz Not Jazz'}, {'@id': '24648', '#text': 'Jazzy Grooves'}, {'@id': '37448', '#text': 'Now School'}, {'@id': '29478', '#text': 'Smash Hunter'}, {'@id': '14797', '#text': 'Transphonic'}, {'@id': '21273', '#text': 'Transphonix'}, {'@id': '84212', '#text': 'Wayne ""Smash"" Hunter'}]"
89,8279,Jill Scott,"{'@id': '2023607', '#text': 'Angelica Diamonds'}"
90,8285,Kelis,"{'@id': '202726', '#text': 'Kelis Rogers'}"
91,8456,Phoebe One,"{'@id': '1236600', '#text': 'Phoebe Esprit'}"
92,8459,Skibadee,"{'@id': '1018326', '#text': 'Alfonso Bondzie'}"
93,8585,Divine Styler,"[{'@id': '672872', '#text': 'Mark Richardson (7)'}, {'@id': '976296', '#text': 'Mikal Safiyullah Divine'}]"
94,8729,Laid Back,none available
95,8993,Double Dee & Steinski,none available
96,8994,Steinski & Mass Media,none available
97,9074,Simon Harris,"[{'@id': '6718', '#text': 'Acid Fingers'}, {'@id': '44199', '#text': 'Ambassadors Of Funk'}, {'@id': '932013', '#text': 'Bassman (7)'}, {'@id': '671400', '#text': 'Ben James (3)'}, {'@id': '39997', '#text': 'DJ Hanway'}, {'@id': '330581', '#text': 'Mad Dog Harris'}, {'@id': '2847720', '#text': 'Mister Miller'}, {'@id': '99667', '#text': 'Nomis Sirrah'}, {'@id': '33803', '#text': 'SHX'}, {'@id': '122522', '#text': 'Wildman'}]"
98,9373,Beenie Man,"[{'@id': '544587', '#text': 'Beenie Don'}, {'@id': '220989', '#text': 'Moses Davis'}, {'@id': '1661122', '#text': 'Ras Moses'}]"
99,9384,Lucy Pearl,none available
100,9557,Dwele,"[{'@id': '57641', '#text': 'Andwele Gardner'}, {'@id': '404885', '#text': 'Elleuud'}]"
101,9638,DJ Rip,"[{'@id': '9694', '#text': 'Cosmic Pimp'}, {'@id': '9689', '#text': 'The Power Plant'}, {'@id': '9676', '#text': 'Xavier Jacome'}]"
102,9707,War,"{'@id': '1287974', '#text': 'Eric Burdon & War'}"
103,9741,Slick Rick,"[{'@id': '34335', '#text': 'M.C. Ricky D'}, {'@id': '63361', '#text': 'Rick Mitra'}, {'@id': '216424', '#text': 'Ricky Walters'}, {'@id': '499658', '#text': 'The Ruler'}]"
104,9807,Enya,"{'@id': '156117', '#text': 'Eithne Ni Bhraonain'}"
105,9838,Mix Master Mike,"[{'@id': '756781', '#text': 'Mike Schwartz'}, {'@id': '4505546', '#text': 'Slim (52)'}]"
106,9839,The X-Ecutioners,"{'@id': '50801', '#text': 'The X-Men'}"
107,9965,Muro,"[{'@id': '212372', '#text': 'DJ XXXL'}, {'@id': '2104306', '#text': 'Takayoshi Murota'}]"
108,9966,DJ Format,"{'@id': '802063', '#text': 'Matt Ford'}"
109,10090,Mass Influence,none available
110,10147,Mr. X,"[{'@id': '22915', '#text': 'Afrika Islam'}, {'@id': '1179679', '#text': 'Charles Andre Glenn'}, {'@id': '2341512', '#text': 'Charlie Funk'}]"
111,10181,DJ LBR,none available
112,10268,Kid Sublime,"[{'@id': '333797', '#text': 'Jacob Malik Ladder'}, {'@id': '785571', '#text': 'Jacob Otten'}]"
113,10578,The Pharcyde,none available
114,10586,Slum Village,"{'@id': '73959', '#text': 'J-88'}"
115,10783,Beastie Boys,none available
116,10818,Hiroshi Fujiwara,"[{'@id': '5526320', '#text': 'Hiroshi The Ripper'}, {'@id': '6145531', '#text': 'Sacai'}]"
117,10990,Blackstreet,none available
118,10991,Coolio,"{'@id': '633285', '#text': 'Artis Ivey'}"
119,10995,Erykah Badu,"[{'@id': '1327944', '#text': 'Ebi Breezy'}, {'@id': '654334', '#text': 'Erica Wright'}]"
120,11012,Rod Stewart,"[{'@id': '5213143', '#text': 'D. Throat'}, {'@id': '270942', '#text': 'Harry The Hook'}]"
121,11152,DJ Revolution,"{'@id': '1044963', '#text': 'Kurt G. Hoffman'}"
122,11213,Wu-Tang Clan,none available
123,11414,DLT,none available
124,11737,Shannon,"{'@id': '1153424', '#text': 'Bebi S.'}"
125,11784,Task Force (2),none available
126,11864,Kelz,none available
127,11910,Milo Johnson,"[{'@id': '1098715', '#text': 'DJ Nature'}, {'@id': '820135', '#text': 'DJ Spearchucker'}, {'@id': '17917', '#text': 'Nature Boy'}]"
128,12137,Heavy D. & The Boyz,none available
129,12287,Another Level,none available
130,12330,Yella,"{'@id': '3084438', '#text': 'Antoine Carraby'}"
131,12466,Black Thought,"[{'@id': '1036058', '#text': 'Tarik Luqmaan Collins'}, {'@id': '213176', '#text': 'Tariq Trotter'}]"
132,12469,Phonosycographdisk,"[{'@id': '37346', '#text': 'DJ Disk'}, {'@id': '1739983', '#text': 'Lou Quintanilla'}, {'@id': '617666', '#text': 'Scarecrow Willy'}]"
133,12470,Company Flow,none available
134,12474,Kukoo Da Baga Bonez,"{'@id': '810038', '#text': 'Dwayne Bryant'}"
135,12596,James Brown,"[{'@id': '5221125', '#text': 'B. Newton'}, {'@id': '882323', '#text': 'Dessie Rozier'}, {'@id': '5221134', '#text': 'James Who ?'}, {'@id': '1725977', '#text': 'Jem Snowbar'}, {'@id': '3239210', '#text': 'Jim Jam (3)'}, {'@id': '1726025', '#text': 'News Orb jam'}, {'@id': '1256151', '#text': 'Steve Soul'}, {'@id': '642393', '#text': 'Ted Wright'}, {'@id': '4842780', '#text': 'The Godfather Of Soul'}, {'@id': '287150', '#text': 'The Hustle Rats'}, {'@id': '4195384', '#text': 'The Minister Of New New Super Heavy Funk'}]"
136,12626,Craig David,none available
137,12627,Soulive,none available
138,13247,Prince Paul,"[{'@id': '499392', '#text': 'Chest Rockwell (2)'}, {'@id': '1403355', '#text': 'Filthy Pablo'}, {'@id': '222087', '#text': 'Paul Huston'}, {'@id': '2084782', '#text': 'The Abstracts (4)'}, {'@id': '2681190', '#text': 'Undertaker (7)'}]"
139,13333,Imhotep,"[{'@id': '275930', '#text': 'Kif Kif'}, {'@id': '699740', '#text': 'Pascal Perez'}, {'@id': '350554', '#text': 'Tonton'}]"
140,13705,MC Det,"{'@id': '676467', '#text': 'Joseph Ellington'}"
141,13726,N.W.A.,none available
142,13727,Luniz,none available
143,13732,Ice Cube,"{'@id': '640080', '#text': ""O'Shea Jackson""}"
144,13733,Aaliyah,"{'@id': '4994648', '#text': 'Aaliyah Dana Haughton'}"
145,13869,"Chris ""The Glove"" Taylor","{'@id': '4039018', '#text': 'DJ Glove (3)'}"
146,13873,Marley Marl,"[{'@id': '240304', '#text': 'Double M Eye'}, {'@id': '166784', '#text': 'Marlon Williams'}, {'@id': '13875', '#text': 'N.Y.C. Cutter'}]"
147,13876,Doug E. Fresh And The Get Fresh Crew,none available
148,13878,D.St.,"[{'@id': '718741', '#text': 'Derek Showard'}, {'@id': '10822', '#text': 'DXT'}]"
149,13879,Kid Frost,"{'@id': '669652', '#text': 'Arturo Molina Jr.'}"
150,13888,Awesome Foursome,none available
151,13936,Toni Braxton,none available
152,13961,Sting,"{'@id': '207403', '#text': 'Gordon Sumner'}"
153,13981,DJ Chestnut,"[{'@id': '346890', '#text': 'Albert Gabriel'}, {'@id': '3611', '#text': 'Arj Snoek'}]"
154,14014,Common,"[{'@id': '1491527', '#text': 'L. Liston'}, {'@id': '737750', '#text': 'Lonnie Rashid Lynn'}, {'@id': '4531329', '#text': 'Willie Stargell (2)'}]"
155,14017,Jigmastas,"{'@id': '257537', '#text': 'The Jay I Geez'}"
156,14081,EJM,"{'@id': '4042591', '#text': 'Jean-Michel Émilien'}"
157,14145,M.S.I.,none available
158,14295,Pete Rock,"[{'@id': '2081181', '#text': 'Chocolate Boy Wonder'}, {'@id': '246265', '#text': 'Pete Phillips'}, {'@id': '1346455', '#text': 'Soul Brother Number One'}, {'@id': '34770', '#text': 'The Creator'}]"
159,14313,Deshay,none available
160,14480,Chubb Rock,"{'@id': '694508', '#text': 'Richard Simpson (2)'}"
161,14481,Sweet Tee,"[{'@id': '236171', '#text': 'Suga'}, {'@id': '179512', '#text': 'Toi Jackson'}]"
162,14484,Howie Tee,"{'@id': '3571161', '#text': 'Howard Thompson (6)'}"
163,14485,Power Jam,"[{'@id': '17078', '#text': '16 Bit'}, {'@id': '2540170', '#text': 'Anzilotti & Münzing'}, {'@id': '2739871', '#text': 'Challenge (6)'}, {'@id': '730593', '#text': 'Glas'}, {'@id': '547824', '#text': 'Machineries Of Joy'}, {'@id': '21276', '#text': 'Noys'}, {'@id': '7698', '#text': 'Snap!'}]"
164,14488,Queen Latifah,"{'@id': '664276', '#text': 'Dana Owens'}"
165,14491,Chill Rob G,"{'@id': '798631', '#text': 'Robert Frazier'}"
166,14560,DJ Kool,"{'@id': '693168', '#text': 'John Bowman'}"
167,14646,R. Kelly,"[{'@id': '4356725', '#text': 'Robert Kelly (8)'}, {'@id': '1156410', '#text': 'The Pied Piper (2)'}]"
168,14648,DJ Jazzy Jeff & The Fresh Prince,none available
169,14696,Extince,"[{'@id': '692436', '#text': 'Call The Kops'}, {'@id': '605127', '#text': 'Peter Kops'}]"
170,14725,Funky Fresh Few,none available
171,14742,EPMD,none available
172,14743,Redman,"[{'@id': '2647098', '#text': 'Akahito'}, {'@id': '282334', '#text': 'Da Mascot'}, {'@id': '316984', '#text': 'Funk Doc'}, {'@id': '157653', '#text': 'Reggie Noble'}]"
173,14745,Breez Evahflowin',"[{'@id': '1553074', '#text': 'Da Silver'}, {'@id': '4914248', '#text': 'Enrique Da Silva'}]"
174,14747,Sunz Of Man,none available
175,14752,The Wascals,none available
176,14753,Xzibit,"{'@id': '640090', '#text': 'Alvin Joiner'}"
177,14757,Black Moon,none available
178,14954,Rodney P,"{'@id': '631731', '#text': 'Rodney Panton'}"
179,14956,Rasco,"{'@id': '860442', '#text': 'Kieda Brewer'}"
180,15585,Dee Nasty,"{'@id': '699682', '#text': 'Daniel Bigeault'}"
181,15588,Gonzales,"{'@id': '254525', '#text': 'Jason Beck'}"
182,15787,Timbuktu,"[{'@id': '423595', '#text': 'Jason Diakité'}, {'@id': '3697124', '#text': 'The Cinnamon Kid'}, {'@id': '3697123', '#text': 'Trollet'}, {'@id': '728528', '#text': 'Urban Schmutz'}]"
183,16048,Kilo,none available
184,16171,Jason Downs,none available
185,16360,Mario,"{'@id': '327649', '#text': 'Mario Barrett'}"
186,16409,Omar,"[{'@id': '3096423', '#text': 'Omar Christopher Hammer'}, {'@id': '711063', '#text': 'Omar Lye-Fook'}]"
187,16412,MC Solaar,"{'@id': '610368', '#text': ""Claude M'Barali""}"
188,16508,Madlib,"[{'@id': '83040', '#text': 'Ahmad Miller'}, {'@id': '359679', '#text': 'Beat Konducta'}, {'@id': '764990', '#text': 'D. Relmond'}, {'@id': '346734', '#text': 'DJ Lord Such'}, {'@id': '103377', '#text': 'DJ Rels'}, {'@id': '1034614', '#text': 'Duma Peterson'}, {'@id': '346741', '#text': 'Joe McDuphrey'}, {'@id': '68316', '#text': 'Joe McDuphrey Experience'}, {'@id': '1034613', '#text': 'Junior Taylor'}, {'@id': '801209', '#text': 'Kamala Walker and The Soul Tribe'}, {'@id': '1034612', '#text': 'Kay Henderson'}, {'@id': '270951', '#text': 'Malik Flavors'}, {'@id': '2233111', '#text': 'Medicine Man (8)'}, {'@id': '346736', '#text': 'Monk Hughes'}, {'@id': '229905', '#text': 'Monk Hughes & The Outer Realm'}, {'@id': '339585', '#text': 'Morgan Adams III'}, {'@id': '346740', '#text': 'Otis Jackson Jr.'}, {'@id': '801210', '#text': 'Otis Jackson Jr. Trio'}, {'@id': '24208', '#text': 'Quasimoto'}, {'@id': '1892478', '#text': 'R.M.C.'}, {'@id': '339584', '#text': 'Russel Jenkins'}, {'@id': '333881', '#text': 'Sound Directions'}, {'@id': '801212', '#text': 'Suntouch'}, {'@id': '801206', '#text': 'The Eddie Prince Fusion Band'}, {'@id': '801205', '#text': 'The Jahari Massamba Unit'}, {'@id': '736020', '#text': 'The Jazzistics'}, {'@id': '855867', '#text': 'The Last Electro-Acoustic Space Jazz & Percussion Ensemble'}, {'@id': '52795', '#text': 'The Loopdigga'}, {'@id': '1034615', '#text': 'Tyrone Foster'}, {'@id': '801211', '#text': ""Yesterday's Universe All Stars""}, {'@id': '231672', '#text': 'Yesterdays New Quintet'}, {'@id': '629747', '#text': 'Young Jazz Rebels'}]"
189,16575,KUDO,"{'@id': '332767', '#text': 'Masayuki Kudo'}"
190,16627,DJ Skribble,"{'@id': '655229', '#text': 'Scott Ialacci'}"
191,16655,Blondie,none available
192,16659,Showbiz,"{'@id': '791011', '#text': 'Rodney LeMay'}"
193,16662,DJ Hasebe,"{'@id': '1043118', '#text': 'Old Nick (2)'}"
194,16741,Vicious Bass,none available
195,16755,Force MD's,"{'@id': '392963', '#text': ""Force MC's""}"
196,16756,Whiz Kid,"{'@id': '758213', '#text': 'Harold McGuire'}"
197,16757,Rock Squad,none available
198,16763,House Of Pain,none available
199,16832,The Beatnuts,none available
200,16968,Harlem Underground Band,"{'@id': '120765', '#text': 'Mighty Tom Cats'}"
201,16990,Nairobi,none available
202,17101,Boogie Down Productions,none available
203,17110,The Neptunes,"[{'@id': '145843', '#text': 'N*E*R*D'}, {'@id': '4041721', '#text': 'Williams & Hugo'}]"
204,17212,Robbie Williams,none available
205,17477,Jurassic 5,none available
206,17489,Desert Eagle Discs,none available
207,17498,Tolga,"[{'@id': '39505', '#text': 'Mighty Tolga'}, {'@id': '1075798', '#text': 'Tolga Özbek'}]"
208,17502,The Streets,"[{'@id': '126360', '#text': 'Grafiti'}, {'@id': '109416', '#text': 'Mike Skinner'}, {'@id': '320913', '#text': 'The Beats'}]"
209,17531,Afrika Bambaataa,"{'@id': '5710293', '#text': 'Aasim (3)'}"
210,17550,Sugarhill Gang,"{'@id': '386758', '#text': ""Rapper's Delight""}"
211,17551,The Gap Band,none available
212,17587,Method Man,"[{'@id': '579789', '#text': 'Clifford Smith (2)'}, {'@id': '600813', '#text': 'Johnny Blaze'}, {'@id': '3208546', '#text': 'Ticallion Stallion'}]"
