,Names_lists1,Names_lists2
0,Lady D,Mr Egg Germ
1,Lady D,T Monique
2,Mr Egg Germ,T Monique
3,T.C. Izlam,The Phunky Alien
4,Various,Mood
5,Bravo (7),Sandman (9)
6,Da Germ,Matrix (6)
7,Da Germ,Roey Marquis II
8,Da Germ,Spiritual Warriors
9,Matrix (6),Roey Marquis II
10,Matrix (6),Spiritual Warriors
11,Roey Marquis II,Spiritual Warriors
12,Poison Ladd S.L.R.,Beats In General
13,Kool Keith,Tashan Dorrsett
14,Kool Keith,Tashan Dorrsett
15,Ricca Razor Sharp,The Equazn
16,Ghostface Killah,BadBadNotGood
17,Ryan Stinson,Chapter Thrive
18,mikedecline,Ryan Stinson
19,J.R. Writer,Un Kasa
20,Kid Sublime,Lesdeal
21,Sugarhill Gang,Grandmaster Flash
22,MC Duke,DJ Leader 1
23,The 3 Knights,Standing Ovation
24,Flexx G,Kurupt
25,Flexx G,Alcatraz (5)
26,Kurupt,Alcatraz (5)
27,Coo Coo Cal,Juvenile (2)
28,Strings,Drag-On
29,The Two Def M.C.'s,The Big Time Posse
30,Chubb Rock,Howie Tee
31,Chuck Chillout,Kool Chip
32,Boogie Boys,Boogie Knight
33,Tommy Tee,Petter
34,Tommy Tee,Diaz
35,Petter,Diaz
36,Den Gale Pose,Laid Back
37,Schwester S.,Rödelheim Hartreim Projekt
38,S-Dub (3),Shabaam Sahdeeq
39,DJ Duquan,The Wonderluv Dan
40,Rasco,Flii
41,Mr. Phil,Danno (2)
42,Mr. Phil,Lord Bean
43,Mr. Phil,DJ Double S (4)
44,Danno (2),Lord Bean
45,Danno (2),DJ Double S (4)
46,Lord Bean,DJ Double S (4)
47,Flip (3),Average MC
48,Sweetbox,D. Christopher Taylor
49,Daddy Lord C,La Cliqua
50,Fabe,Ideosoul
51,Fabe,Sléo
52,Ideosoul,Sléo
53,Jimmy Jay,Lamifa
54,Jimmy Jay,Madison Le Bourreau
55,Jimmy Jay,Chrysto Le Barbare
56,Lamifa,Madison Le Bourreau
57,Lamifa,Chrysto Le Barbare
58,Madison Le Bourreau,Chrysto Le Barbare
59,Dee Nasty,Big Brother Hakim
60,Lil' Flip,Big Shasta
61,Rmxcrw,I.V.A.
62,Word Of Mouth (2),DJ Cheese
63,Frankie Hi-NRG MC,Aeroplanitaliani
64,Abdominal,DJ Fase
65,Young Noble,Gage Gully
66,Young Noble,Deuce Deuce
67,Sir Lloyd,Alex Charles
68,Zion I,The Grouch
69,Unity Committee,Rebels Of Rhythm (2)
70,Inspector Double Negative,Special Guest
71,Afu-Ra,Perverted Monks
