,0,1
0,V1,V2
1,69205,977533
2,69205,977534
3,977533,977534
4,4813,407736
5,194,106990
6,280631,280632
7,226265,83978
8,226265,997
9,226265,1002836
10,83978,997
11,83978,1002836
12,997,1002836
13,324244,324247
14,640853,640854
15,44958,2468526
16,1958279,2160634
17,3670328,1958279
18,243806,257275
19,10268,552851
20,17550,21715
21,39740,194996
22,128642,132021
23,2740852,66154
24,2740852,753590
25,66154,753590
26,284477,137603
27,230484,133877
28,1259381,1367030
29,14480,14484
30,133237,51978
31,21704,710296
32,52172,173141
33,52172,173435
34,173141,173435
35,472460,8729
36,118228,176724
37,596409,596410
38,14956,169524
39,1711214,878866
40,1711214,1259775
41,1711214,1607604
42,878866,1259775
43,878866,1607604
44,1259775,1607604
45,66008,926686
46,20890,206853
47,278166,278165
48,98201,778613
49,98201,594242
50,778613,594242
51,40472,461673
52,40472,755799
53,40472,755794
54,461673,755799
55,461673,755794
56,755799,755794
57,15585,258350
58,111506,218659
59,165028,234363
60,211684,30998
61,97356,191844
62,94122,134391
63,267374,5233803
64,267374,646825
65,562720,203713
66,71651,82947
67,611121,5158678
68,1568935,1568936
69,39655,66143
70,1564180,3804942
71,1564180,3973864
72,3804942,3973864
73,1496549,341732
74,28928,961931
75,774782,652665
76,36621,239983
77,97078,121443
78,62139,373344
79,700540,1990239
80,2061403,4245939
81,1202128,56534
82,1907475,191071
83,62123,126320
84,877929,239305
85,80748,1449765
86,64692,1781
87,176751,41233
88,676421,676422
89,676421,658288
90,676422,658288
91,33417,189462
92,219498,219497
93,176751,41233
94,1050671,8456
95,17489,336882
96,698606,1621054
97,698605,698702
98,799485,140547
99,698605,698702
100,2262397,1519400
101,799489,722088
102,2262397,3512298
103,960805,698606
104,698605,698702
105,2262399,1789578
106,722093,1086619
107,4249719,5031934
108,514801,276671
109,81419,222457
110,81419,523446
111,222457,523446
112,239719,514116
113,50513,1458
114,8024,36603
115,170239,8024
116,5331884,205201
117,5331884,331629
118,5331884,122418
119,205201,122418
120,331629,122418
121,183968,152272
122,267935,37906
123,383281,132084
124,267935,137880
125,227223,1708621
126,106523,79326
127,3428575,1165433
128,79942,214415
129,179826,349341
130,70867,18123
131,176313,176312
132,215848,109392
133,215848,920559
134,109392,920559
135,998482,998484
136,998482,1269006
137,998482,1378288
138,998484,1269006
139,998484,1378288
140,1269006,1378288
141,120307,178698
142,1271020,1098050
143,1271020,1269004
144,1271020,1269007
145,1098050,1269004
146,1098050,1269007
147,1269004,1269007
148,769374,412929
149,769374,998484
150,769374,412929
151,998484,412929
152,3862,55726
153,216270,207191
154,236587,1108502
155,207189,126035
156,75187,2273460
157,75187,961313
158,2273460,961313
159,176350,175355
160,689101,261568
161,115941,382934
162,843221,50577
163,1098050,1269041
164,60753,177497
165,100752,188242
166,395899,523446
167,1269008,2170838
168,1564396,2437593
169,294157,333565
170,294157,1635332
171,333565,1635332
172,1269008,351304
173,1981853,1981855
174,1564396,2437593
175,143751,53116
176,2136477,2065847
177,2136477,2336696
178,2065847,2336696
179,173547,785743
180,240713,73142
181,240713,146826
182,73142,146826
183,296438,18324
184,296438,735854
185,18324,735854
186,284477,77860
187,284477,296438
188,77860,296438
189,1018212,5011235
190,86470,100292
191,86470,2027230
192,100292,2027230
193,1271041,1603696
194,94965,350030
195,94965,94107
196,94965,349178
197,350030,94107
198,350030,349178
199,94107,349178
200,1532123,1769553
201,350617,350616
202,133477,241140
203,51650,186461
204,20389,50703
205,1603696,1603701
206,421588,1493214
207,421588,1057095
208,1493214,1057095
209,4859172,1490075
210,419596,481117
211,1642826,1642821
212,3165,104741
213,121440,1458
214,41304,128173
215,90010,142152
216,215411,102373
217,125518,7253
218,125518,797983
219,7253,797983
220,61701,20506
221,238212,144225
222,3273,45556
223,323496,3764769
224,323496,3764768
225,3764769,3764768
226,246434,246432
227,189377,189378
228,39295,28271
229,2396387,2493933
230,2396387,8186
231,2493933,8186
232,65048,175120
233,5090,26936
234,1144082,1144081
235,90640,142954
236,30021,29058
237,24205,50677
238,42232,60479
239,2819931,4323419
240,205053,170220
241,194,2287344
242,9838,9839
243,9838,37343
244,9838,41233
245,9838,1121000
246,9839,37343
247,9839,41233
248,9839,1121000
249,37343,41233
250,37343,1121000
251,41233,1121000
252,2405514,974878
253,304146,40445
254,304146,181427
255,304146,5682
256,40445,181427
257,40445,5682
258,181427,5682
259,2545,227583
260,1312048,1312047
261,113191,108542
262,4617,50997
263,4617,165952
264,4617,182094
265,50997,165952
266,50997,182094
267,165952,182094
268,490852,490851
269,3063558,3063557
270,394728,39954
271,288583,844393
272,3091846,3091845
273,35346,1141640
274,186837,93616
275,235227,173541
276,235227,65049
277,173541,65049
278,132084,173401
279,1536062,100558
280,1536062,44958
281,100558,44958
282,1676658,664446
283,206873,88398
284,206873,220984
285,206873,63840
286,88398,220984
287,88398,63840
288,220984,63840
289,110844,97139
290,110844,92281
291,97139,92281
292,138038,198567
293,138038,51988
294,138038,77522
295,198567,51988
296,198567,77522
297,51988,77522
298,198859,77522
299,37913,590009
300,3979872,3979870
301,221673,1113020
302,331456,303120
303,3044334,1698932
304,76242,220911
305,175708,175707
306,3652710,220878
307,161235,797489
308,336697,14014
309,991190,2101599
310,1069215,166396
311,285700,302108
312,194,2447646
313,194,2447648
314,2447646,2447648
315,296386,30219
316,297282,122206
317,152098,272157
318,105343,66144
319,299096,66144
320,671093,69237
321,374233,374231
322,374233,374236
323,374231,374236
324,711924,711923
325,368043,66144
326,368043,297515
327,66144,297515
328,66144,1552032
329,728026,204166
330,66153,81419
331,155715,1280495
332,117529,174008
333,117529,100244
334,117529,81418
335,174008,100244
336,174008,81418
337,100244,81418
338,1483406,1465577
339,1483406,3500578
340,191052,194794
341,191071,200516
342,314253,110359
343,100953,1340976
344,2557524,2557523
345,185840,79763
346,65048,217039
347,9965,65048
348,9965,21128
349,65048,21128
350,82974,125636
351,1283971,69273
352,241530,215610
353,196444,119895
354,70379,217441
355,149487,742608
356,5231605,1313574
357,792887,792886
358,908961,2108388
359,5556194,5560522
360,5556194,5560527
361,3232613,3946211
362,2912257,3238634
363,2912257,3238634
364,3238634,3736125
365,3238634,5806281
366,4565391,5827675
367,4565391,5827722
368,4220301,4584444
369,5957232,3493400
370,5957232,5957626
371,3493400,5957626
372,5957232,2919023
373,4542810,3795422
374,3540269,3571606
375,3540269,3571606
376,3540269,5016704
377,3571606,5016704
378,3768240,6079176
379,3768240,6079177
380,6079176,6079177
381,6144914,6143402
382,6144914,6144954
383,6143402,6144954
384,6144914,6144957
385,6144914,4274863
386,6144957,3257293
387,3525834,5126887
388,5126887,6143122
389,2917440,5892149
390,5957679,6264930
391,4820308,6274948
392,4820308,6274932
393,4820308,6274949
394,4820308,6274947
395,6274948,6274932
396,6274948,6274949
397,6274948,6274947
398,6274932,6274949
399,6274932,6274947
400,6274949,6274947
401,6273014,4149765
402,6276776,6273016
403,6282753,5187005
404,5187005,6278672
405,5285495,6290557
406,6290557,6107638
407,434143,2343978
408,6292710,238837
409,6296520,6098944
410,6296520,6292710
411,6296520,6296518
412,6098944,6292710
413,6098944,6296518
414,6292710,6296518
415,6296518,6296839
416,6302688,1191187
417,6302688,6304499
418,1191187,6304499
419,3139122,3136843
420,6305947,3139122
421,6304521,6302688
422,6098944,1493365
423,6302789,3250813
424,6302789,3250813
425,4465588,717680
426,402263,4735305
427,402263,3948080
428,4735305,3948080
429,5014944,6345023
430,5014944,6346650
431,6345023,6346650
432,6347561,6181143
433,15588,1073885
434,6349660,3379065
435,6358404,6360246
436,6358478,6372435
437,6358478,6372434
438,6372435,6372434
439,1981319,6323058
440,6376770,6323058
441,6323058,6323056
442,6323058,1981319
443,6323056,1981319
444,4596265,5674073
445,4596265,1981319
446,1981319,6323058
447,1493214,6376770
448,6381369,6376770
449,6387408,6387510
450,6387408,6181143
451,6387510,6181143
452,3070379,6401247
453,3070379,3231000
454,2739181,2699877
455,6412865,6412866
456,6491172,6491171
457,6498470,6489402
458,6489402,6498529
459,6489402,2415558
460,6497558,3456725
461,5102657,1095570
462,5102657,5102661
463,5102657,6607448
464,5102657,6607448
465,6653120,4310193
466,171746,14014
467,275916,162460
468,157016,45047
469,394728,16409
470,216711,459304
471,461718,341309
472,107195,276562
473,1574961,109400
474,181264,43011
475,255574,655446
476,140833,592895
477,140833,216708
478,592895,216708
479,140833,592895
480,461718,341313
481,282718,109396
482,276554,279293
483,275916,162460
484,1122674,226851
485,88351,36527
486,217147,173141
487,217147,61831
488,173141,61831
489,216809,218651
490,288069,208850
491,278381,269645
492,219213,137878
493,1201672,602998
494,1201672,552485
495,602998,552485
496,222457,1956897
497,14481,179513
498,1375901,1531856
499,273051,61536
500,114916,366273
501,219497,1302391
502,1556801,1556796
503,928075,1731604
504,3007548,1546718
505,76484,240369
506,76484,76486
507,240369,76486
508,209246,1456712
509,39834,107386
510,39834,105456
511,39834,212995
512,39834,224983
513,39834,22428
514,107386,105456
515,107386,212995
516,107386,224983
517,107386,22428
518,105456,212995
519,105456,224983
520,105456,22428
521,212995,224983
522,212995,22428
523,224983,22428
524,120236,1813779
525,214459,145488
526,290433,638091
527,844513,26258
528,2545,2724888
529,2545,689990
530,99512,177921
531,99512,499885
532,177921,499885
533,1711524,1232413
534,1711524,1711525
535,1232413,1711525
536,111139,111138
537,1752845,16048
538,1005367,1005368
539,1005367,1052939
540,1005368,1052939
541,3835330,3835327
542,3835330,3835329
543,3835327,3835329
544,4701519,222009
545,2579886,2579885
546,2547211,62133
547,362576,362577
548,1036491,179826
549,248375,157396
550,1468761,2121662
551,3390668,3921976
552,1902191,2735785
553,188834,190155
554,199439,176684
555,913341,2704837
556,913341,913340
557,2704837,913340
558,3687641,2940326
559,590022,373344
560,50782,99512
561,50782,62130
562,99512,62130
563,893838,893837
564,4911751,3667994
565,37197,80040
566,1655489,1655488
567,219412,219415
568,571799,5003284
569,571799,235019
570,5003284,235019
571,37046,117541
572,37046,2535488
573,117541,2535488
574,3086079,845566
575,2557524,2557523
576,278512,278513
577,1264706,1264705
578,5344756,4898833
579,329409,316045
580,329409,2494529
581,316045,2494529
582,1211963,2073900
583,2064375,6279305
584,113397,359871
585,50514,13873
586,96954,137540
587,18123,28579
588,107305,102865
589,696581,82702
590,320474,396613
591,174122,163128
592,174122,188975
593,3460113,220236
594,239741,225106
595,3315392,84159
596,3315392,5555214
597,84159,5555214
598,10578,190363
599,360376,360377
600,296728,37909
601,296728,210876
602,37909,210876
603,173280,411029
604,3946226,2409771
605,600174,180804
606,319766,319765
607,83143,38379
608,233143,297803
609,92901,5648
610,32143,47076
611,374226,229665
612,9384,132084
613,9384,35848
614,132084,35848
615,228001,77923
616,145845,244341
617,82693,73255
618,174193,237350
619,174193,113498
