V1,V2
69205,977533
69205,977534
977533,977534
4813,407736
194,106990
280631,280632
226265,83978
226265,997
226265,1002836
83978,997
83978,1002836
997,1002836
324244,324247
18123,1335830
18123,1335830
640853,640854
44958,2468526
1958279,2160634
3670328,1958279
243806,257275
10268,552851
17550,21715
39740,194996
128642,132021
2740852,66154
2740852,753590
66154,753590
284477,137603
230484,133877
1259381,1367030
14480,14484
133237,51978
21704,710296
52172,173141
52172,173435
173141,173435
472460,8729
118228,176724
2891381,80658
596409,596410
14956,169524
1711214,878866
1711214,1259775
1711214,1607604
878866,1259775
878866,1607604
1259775,1607604
66008,926686
20890,206853
278166,278165
98201,778613
98201,594242
778613,594242
40472,461673
40472,755799
40472,755794
461673,755799
461673,755794
755799,755794
15585,258350
111506,218659
165028,234363
211684,30998
97356,191844
94122,134391
267374,5233803
267374,646825
562720,203713
71651,82947
611121,5158678
1568935,1568936
39655,66143
1564180,3804942
1564180,3973864
3804942,3973864
1496549,341732
28928,961931
774782,652665
36621,239983
97078,121443
62139,373344
700540,1990239
2061403,4245939
1202128,56534
1907475,191071
62123,126320
877929,239305
80748,1449765
64692,1781
176751,41233
676421,676422
676421,658288
676422,658288
33417,189462
219498,219497
176751,41233
1050671,8456
17489,336882
698606,1621054
698605,698702
799485,140547
698605,698702
2262397,1519400
799489,722088
2262397,3512298
960805,698606
698605,698702
2262399,1789578
722093,1086619
4249719,5031934
514801,276671
81419,222457
81419,523446
222457,523446
239719,514116
50513,1458
8024,36603
170239,8024
5331884,205201
5331884,331629
5331884,122418
205201,331629
205201,122418
331629,122418
183968,152272
267935,37906
383281,132084
267935,137880
227223,1708621
106523,79326
3428575,1165433
79942,214415
179826,349341
70867,18123
176313,176312
215848,109392
215848,920559
109392,920559
278520,278519
998482,998484
998482,1269006
998482,1378288
998484,1269006
998484,1378288
1269006,1378288
120307,178698
1271020,1098050
1271020,1269004
1271020,1269007
1098050,1269004
1098050,1269007
1269004,1269007
769374,412929
769374,998484
769374,412929
998484,412929
3862,55726
216270,207191
236587,1108502
207189,126035
75187,2273460
75187,961313
2273460,961313
176350,175355
689101,261568
115941,382934
843221,50577
1098050,1269041
60753,177497
100752,188242
395899,523446
1269008,2170838
1564396,2437593
294157,333565
294157,1635332
333565,1635332
1269008,351304
1981853,1981855
1564396,2437593
143751,53116
2136477,2065847
2136477,2336696
2065847,2336696
173547,785743
240713,73142
240713,146826
73142,146826
296438,18324
296438,735854
18324,735854
284477,77860
284477,296438
77860,296438
1018212,5011235
86470,100292
86470,2027230
100292,2027230
1271041,1603696
94965,350030
94965,94107
94965,349178
350030,94107
350030,349178
94107,349178
1532123,1769553
350617,350616
133477,241140
51650,186461
20389,50703
1603696,1603701
421588,1493214
421588,1057095
1493214,1057095
4859172,1490075
419596,481117
1642826,1642821
3165,104741
121440,1458
41304,128173
90010,142152
215411,102373
125518,7253
125518,797983
7253,797983
61701,20506
238212,144225
3273,45556
323496,3764769
323496,3764768
3764769,3764768
246434,246432
189377,189378
39295,28271
2396387,2493933
2396387,8186
2493933,8186
65048,175120
5090,26936
1144082,1144081
90640,142954
30021,29058
24205,50677
42232,60479
25495,390896
1546718,3420655
2819931,4323419
205053,170220
194,2287344
9838,9839
9838,37343
9838,41233
9838,1121000
9839,37343
9839,41233
9839,1121000
37343,41233
37343,1121000
41233,1121000
2405514,974878
304146,40445
304146,181427
304146,5682
40445,181427
40445,5682
181427,5682
2545,227583
1312048,1312047
113191,108542
4617,50997
4617,165952
4617,182094
50997,165952
50997,182094
165952,182094
490852,490851
3063558,3063557
394728,39954
288583,844393
3091846,3091845
35346,1141640
186837,93616
235227,173541
235227,65049
173541,65049
132084,173401
1536062,100558
1536062,44958
100558,44958
1676658,664446
206873,88398
206873,220984
206873,63840
88398,220984
88398,63840
220984,63840
110844,97139
110844,92281
97139,92281
138038,198567
138038,51988
138038,77522
198567,51988
198567,77522
51988,77522
198859,77522
37913,590009
3979872,3979870
221673,1113020
331456,303120
3044334,1698932
76242,220911
175708,175707
3652710,220878
161235,797489
336697,14014
991190,2101599
1069215,166396
285700,302108
194,2447646
194,2447648
2447646,2447648
296386,30219
297282,122206
152098,272157
105343,66144
299096,66144
671093,69237
374233,374231
374233,374236
374231,374236
711924,711923
368043,66144
368043,297515
66144,297515
66144,1552032
728026,204166
66153,81419
155715,1280495
117529,174008
117529,100244
117529,81418
174008,100244
174008,81418
100244,81418
1483406,1465577
1483406,3500578
191052,194794
191071,200516
314253,110359
100953,1340976
2557524,2557523
185840,79763
65048,217039
9965,65048
9965,21128
65048,21128
82974,125636
1283971,69273
241530,215610
196444,119895
70379,217441
149487,742608
5231605,1313574
792887,792886
908961,2108388
5556194,5560522
5556194,5560527
3232613,3946211
2912257,3238634
2912257,3238634
3238634,3736125
3238634,5806281
4565391,5827675
4565391,5827722
4220301,4584444
5957232,3493400
5957232,5957626
3493400,5957626
5957232,2919023
4542810,3795422
3795422,3795423
3795422,3795423
3795422,3795423
3540269,3571606
3540269,3571606
3540269,5016704
3571606,5016704
3768240,6079176
3768240,6079177
6079176,6079177
6144914,6143402
6144914,6144954
6143402,6144954
6144914,6144957
6144914,4274863
6144957,3257293
3525834,5126887
5126887,6143122
2917440,5892149
5957679,6264930
4820308,6274948
4820308,6274932
4820308,6274949
4820308,6274947
6274948,6274932
6274948,6274949
6274948,6274947
6274932,6274949
6274932,6274947
6274949,6274947
6273014,4149765
6276776,6273016
6282753,5187005
5187005,6278672
5285495,6290557
6290557,6107638
434143,2343978
6292710,238837
6296520,6098944
6296520,6292710
6296520,6296518
6098944,6292710
6098944,6296518
6292710,6296518
6296518,6296839
6302688,1191187
6302688,6304499
1191187,6304499
3139122,3136843
6305947,3139122
6304521,6302688
6098944,1493365
6302789,3250813
6302789,3250813
4465588,717680
402263,4735305
402263,3948080
4735305,3948080
5014944,6345023
5014944,6346650
6345023,6346650
6347561,6181143
15588,1073885
6349660,3379065
6358404,6360246
6358478,6372435
6358478,6372434
6372435,6372434
1981319,6323058
6376770,6323058
6323058,6323056
6323058,1981319
6323056,1981319
4596265,5674073
4596265,1981319
1981319,6323058
1493214,6376770
6381369,6376770
6387408,6387510
6387408,6181143
6387510,6181143
3070379,6401247
3070379,3231000
2739181,2699877
6412865,6412866
6491172,6491171
6498470,6489402
6489402,6498529
6489402,2415558
6497558,3456725
5102657,1095570
5102657,5102661
5102657,6607448
5102657,6607448
6653120,4310193
171746,14014
275916,162460
157016,45047
394728,16409
216711,459304
461718,341309
107195,276562
1574961,109400
181264,43011
255574,655446
140833,592895
140833,216708
592895,216708
140833,592895
461718,341313
282718,109396
276554,279293
275916,162460
1122674,226851
88351,36527
217147,173141
217147,61831
173141,61831
216809,218651
288069,208850
278381,269645
219213,137878
1201672,602998
1201672,552485
602998,552485
222457,1956897
14481,179513
1375901,1531856
273051,61536
114916,366273
258312,256465
219497,1302391
1556801,1556796
928075,1731604
3007548,1546718
76484,240369
76484,76486
240369,76486
209246,1456712
39834,107386
39834,105456
39834,212995
39834,224983
39834,22428
107386,105456
107386,212995
107386,224983
107386,22428
105456,212995
105456,224983
105456,22428
212995,224983
212995,22428
224983,22428
120236,1813779
214459,145488
290433,638091
844513,26258
2545,2724888
2545,689990
99512,177921
99512,499885
177921,499885
1711524,1232413
1711524,1711525
1232413,1711525
111139,111138
1752845,16048
1005367,1005368
1005367,1052939
1005368,1052939
3835330,3835327
3835330,3835329
3835327,3835329
4701519,222009
2579886,2579885
2547211,62133
362576,362577
1036491,179826
248375,157396
1468761,2121662
3390668,3921976
1902191,2735785
188834,190155
199439,176684
913341,2704837
913341,913340
2704837,913340
