,0,1
1,69205,977533
2,69205,977534
3,977533,977534
6,280631,280632
13,324244,324247
18,243806,257275
20,17550,21715
23,2740852,66154
24,2740852,753590
25,66154,753590
26,284477,137603
27,230484,133877
29,14480,14484
30,133237,51978
38,14956,169524
58,111506,218659
60,211684,30998
63,267374,5233803
66,71651,82947
67,611121,5158678
69,39655,66143
70,1564180,3804942
71,1564180,3973864
72,3804942,3973864
73,1496549,341732
74,28928,961931
76,36621,239983
77,97078,121443
78,62139,373344
83,62123,126320
84,877929,239305
87,176751,41233
89,676421,658288
91,33417,189462
93,176751,41233
113,50513,1458
114,8024,36603
115,170239,8024
119,205201,122418
120,331629,122418
121,183968,152272
122,267935,37906
123,383281,132084
124,267935,137880
126,106523,79326
128,79942,214415
129,179826,349341
130,70867,18123
141,120307,178698
152,3862,55726
160,689101,261568
161,115941,382934
165,100752,188242
169,294157,333565
170,294157,1635332
171,333565,1635332
175,143751,53116
179,173547,785743
183,296438,18324
184,296438,735854
185,18324,735854
186,284477,77860
187,284477,296438
188,77860,296438
204,20389,50703
206,421588,1493214
207,421588,1057095
208,1493214,1057095
210,419596,481117
212,3165,104741
213,121440,1458
214,41304,128173
221,238212,144225
230,2396387,8186
232,65048,175120
235,90640,142954
237,24205,50677
242,9838,9839
243,9838,37343
244,9838,41233
245,9838,1121000
246,9839,37343
247,9839,41233
248,9839,1121000
249,37343,41233
250,37343,1121000
251,41233,1121000
253,304146,40445
254,304146,181427
255,304146,5682
256,40445,181427
257,40445,5682
258,181427,5682
259,2545,227583
261,113191,108542
262,4617,50997
263,4617,165952
264,4617,182094
265,50997,165952
266,50997,182094
267,165952,182094
268,490852,490851
272,3091846,3091845
274,186837,93616
277,173541,65049
278,132084,173401
279,1536062,100558
280,1536062,44958
281,100558,44958
282,1676658,664446
289,110844,97139
290,110844,92281
291,97139,92281
292,138038,198567
293,138038,51988
294,138038,77522
295,198567,51988
296,198567,77522
297,51988,77522
298,198859,77522
299,37913,590009
301,221673,1113020
302,331456,303120
304,76242,220911
329,728026,204166
341,191071,200516
342,314253,110359
345,185840,79763
346,65048,217039
349,65048,21128
350,82974,125636
351,1283971,69273
352,241530,215610
354,70379,217441
357,792887,792886
359,5556194,5560522
360,5556194,5560527
361,3232613,3946211
362,2912257,3238634
363,2912257,3238634
381,6144914,6143402
382,6144914,6144954
383,6143402,6144954
384,6144914,6144957
385,6144914,4274863
395,6274948,6274932
397,6274948,6274947
399,6274932,6274947
402,6276776,6273016
405,5285495,6290557
419,3139122,3136843
420,6305947,3139122
429,5014944,6345023
430,5014944,6346650
431,6345023,6346650
455,6412865,6412866
456,6491172,6491171
459,6489402,2415558
466,171746,14014
492,219213,137878
497,14481,179513
501,219497,1302391
502,1556801,1556796
505,76484,240369
506,76484,76486
507,240369,76486
509,39834,107386
510,39834,105456
511,39834,212995
512,39834,224983
513,39834,22428
514,107386,105456
515,107386,212995
516,107386,224983
517,107386,22428
518,105456,212995
519,105456,224983
520,105456,22428
521,212995,224983
522,212995,22428
523,224983,22428
524,120236,1813779
525,214459,145488
529,2545,689990
530,99512,177921
531,99512,499885
532,177921,499885
533,1711524,1232413
534,1711524,1711525
535,1232413,1711525
537,1752845,16048
538,1005367,1005368
539,1005367,1052939
540,1005368,1052939
545,2579886,2579885
547,362576,362577
549,248375,157396
550,1468761,2121662
560,50782,99512
561,50782,62130
562,99512,62130
564,4911751,3667994
565,37197,80040
571,37046,117541
577,1264706,1264705
579,329409,316045
580,329409,2494529
581,316045,2494529
584,113397,359871
585,50514,13873
586,96954,137540
587,18123,28579
598,10578,190363
600,296728,37909
601,296728,210876
602,37909,210876
603,173280,411029
607,83143,38379
609,92901,5648
611,374226,229665
612,9384,132084
613,9384,35848
614,132084,35848
617,82693,73255
618,174193,237350
619,174193,113498
620,237350,113498
622,41767,36099
623,1057894,29059
626,67942,21742
627,167543,868504
628,175184,1626519
630,48865,945105
633,26918,232451
634,26918,66152
635,232451,66152
636,21742,126064
637,21742,81700
638,126064,81700
639,35135,97658
640,67942,21742
641,60978,36100
644,239107,307496
646,216095,2168005
649,34567,14742
650,261612,165375
651,205201,51267
652,6254568,51267
653,2020073,205201
654,4365498,79733
655,166190,105456
657,112737,132084
658,112737,9741
659,132084,9741
660,347352,347353
661,21910,14484
